candidate_rank,ID,Name,Role,decision,predicted_decision,prediction_confidence,skill_match_score,text_similarity_score,overall_match_score,selection_probability,candidate_score,recommendation,matched_skills_text,missing_skills_text,explanation_summary
1515,uppaup230,Jack Johnson,Software Engineer,reject,reject,58.39,60.0,11.92,31.15,41.61,43.34,Not Recommended,"aws, azure, google cloud, java, machine learning, python","artificial intelligence, docker, gitlab, kubernetes",This candidate has limited alignment with the current job requirements.
1516,uppaup213,Eve Wilson,Software Engineer,reject,reject,60.71,60.0,13.61,32.17,39.29,43.33,Not Recommended,"aws, docker, git, java, machine learning, python","artificial intelligence, azure, google cloud, kubernetes",This candidate has limited alignment with the current job requirements.
1517,uppaup168,Diana Moore,UI Engineer,select,select,58.06,50.0,19.16,31.5,58.06,43.29,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1518,uppaup452,Diana Wilson,Software Engineer,reject,reject,57.44,60.0,10.8,30.48,42.56,43.23,Not Recommended,"aws, azure, git, java, javascript, python","data science, docker, google cloud, machine learning",This candidate has limited alignment with the current job requirements.
1519,uppaup224,Jack Wilson,Data Engineer,reject,reject,64.78,58.82,18.36,34.54,35.22,43.17,Not Recommended,"aws, azure, docker, etl, google cloud, hadoop, java, machine learning, python, spark","artificial intelligence, data science, data visualization, git, power bi, scala, tableau",This candidate has limited alignment with the current job requirements.
1520,tanvka709,tanvi kapoor,data scientist,reject,reject,69.39,66.67,6.29,30.44,30.61,43.15,Not Recommended,"sql, tensorflow",statistics,This candidate has limited alignment with the current job requirements.
1521,uppaup114,Jack Miller,Data Engineer,reject,reject,53.4,55.56,16.18,31.93,46.6,43.13,Not Recommended,"aws, azure, java, python, spark","data science, google cloud, machine learning, scala",This candidate has limited alignment with the current job requirements.
1522,uppaup14,Alice Miller,Data Scientist,reject,reject,52.25,55.56,15.31,31.41,47.75,43.13,Not Recommended,"aws, data science, data visualization, machine learning, power bi, python, r, sql, tableau, tensorflow","deep learning, feature engineering, google cloud, hadoop, natural language processing, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1523,uppaup6,Frank Brown,Data Engineer,reject,reject,64.97,56.25,22.85,36.21,35.03,42.99,Not Recommended,"aws, azure, data visualization, hadoop, java, power bi, python, spark, tableau","artificial intelligence, docker, kubernetes, machine learning, pytorch, scala, tensorflow",This candidate has limited alignment with the current job requirements.
1524,VAMSKR188,Prasad,AI Engineer,reject,reject,54.94,50.0,27.68,36.61,45.06,42.99,Not Recommended,"artificial intelligence, computer vision, deep learning, feature engineering, keras, machine learning, natural language processing, python, pytorch, tensorflow","aws, azure, data visualization, docker, git, google cloud, java, kubernetes, power bi, tableau",This candidate has limited alignment with the current job requirements.
1525,VAMSKR010,Rohit,Business Analyst,reject,reject,58.61,54.55,21.32,34.61,41.39,42.94,Not Recommended,"data analysis, data visualization, excel, power bi, sql, tableau","artificial intelligence, data science, machine learning, python, r",This candidate has limited alignment with the current job requirements.
1526,uppaup251,Grace Johnson,UI Engineer,select,select,53.9,50.0,20.25,32.15,53.9,42.75,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1527,uppaup210,Diana Taylor,Software Engineer,reject,reject,53.01,55.56,14.22,30.76,46.99,42.69,Not Recommended,"docker, java, javascript, machine learning, python","artificial intelligence, aws, azure, git",This candidate has limited alignment with the current job requirements.
1528,durgba147,Katherine Miller,Software Engineer,select,reject,58.07,50.0,28.75,37.25,41.93,42.65,Not Recommended,java,api,This candidate has limited alignment with the current job requirements.
1529,uppaup88,Bob Wilson,Data Scientist,reject,reject,59.21,56.25,17.28,32.87,40.79,42.64,Not Recommended,"aws, data science, data visualization, machine learning, power bi, python, r, sql, tableau","computer vision, deep learning, gcp, hadoop, natural language processing, spark, statistics",This candidate has limited alignment with the current job requirements.
1530,uppaup42,Charlie Johnson,Data Scientist,reject,reject,64.0,57.89,17.36,33.57,36.0,42.57,Not Recommended,"data science, data visualization, deep learning, machine learning, natural language processing, power bi, python, r, sql, tableau, tensorflow","aws, azure, computer vision, gcp, hadoop, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1531,VAMSKR110,Nisha,AI Engineer,reject,reject,53.14,50.0,24.7,34.82,46.86,42.54,Not Recommended,"artificial intelligence, data visualization, deep learning, java, machine learning, natural language processing, python, pytorch, tensorflow","aws, computer vision, data science, django, flask, git, google cloud, power bi, tableau",This candidate has limited alignment with the current job requirements.
1532,VAMSKR145,Gowtham,Database Administrator,select,select,53.81,44.44,30.38,36.0,53.81,42.52,Not Recommended,"mysql, oracle, sql, sql server","aws, azure, git, hadoop, spark",This candidate has limited alignment with the current job requirements.
1533,uppaup325,Bob Brown,Data Scientist,select,select,54.93,50.0,18.45,31.07,54.93,42.47,Not Recommended,"aws, azure, data science, machine learning, matplotlib, python, pytorch, r, seaborn, sql, tableau, tensorflow","data analysis, deep learning, docker, gcp, hadoop, keras, kubernetes, natural language processing, numpy, pandas, spark, statistics",This candidate has limited alignment with the current job requirements.
1534,VAMSKR195,Shanti,AI Engineer,select,reject,65.43,56.52,20.38,34.84,34.57,42.37,Not Recommended,"artificial intelligence, aws, azure, computer vision, data science, google cloud, java, keras, machine learning, natural language processing, python, pytorch, tensorflow","data visualization, docker, feature engineering, git, gitlab, kubernetes, numpy, pandas, power bi, tableau",This candidate has limited alignment with the current job requirements.
1535,VAMSKR140,Ramesh,DevOps Engineer,select,select,63.68,45.45,20.5,30.48,63.68,42.36,Not Recommended,"aws, azure, gitlab, google cloud, kubernetes","api, artificial intelligence, docker, git, machine learning, python",This candidate has limited alignment with the current job requirements.
1536,uppaup471,Grace Moore,Data Scientist,reject,reject,60.37,55.0,19.45,33.67,39.63,42.33,Not Recommended,"data analysis, data science, machine learning, natural language processing, power bi, python, pytorch, r, sql, tableau, tensorflow","aws, azure, data visualization, deep learning, google cloud, hadoop, nlp, spark, statistics",This candidate has limited alignment with the current job requirements.
1537,VAMSKR177,Rajesh,AI Engineer,select,select,68.34,42.11,23.39,30.88,68.34,42.3,Not Recommended,"data visualization, deep learning, feature engineering, git, machine learning, natural language processing, python, tensorflow","artificial intelligence, aws, azure, computer vision, docker, google cloud, java, keras, mlops, pytorch, statistics",This candidate has limited alignment with the current job requirements.
1538,VAMSKR149,Aparna,Data Analyst,reject,select,51.85,50.0,20.04,32.02,51.85,42.28,Not Recommended,"data analysis, data science, data visualization, power bi, python, r, sql, tableau","aws, etl, google cloud, hadoop, machine learning, spark, statistics, time series",This candidate has limited alignment with the current job requirements.
1539,uppaup435,Grace Moore,UI Engineer,select,select,51.61,50.0,19.89,31.93,51.61,42.19,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1540,crysga384,crystal garcia,software engineer,reject,select,62.67,50.0,11.67,27.0,62.67,42.18,Not Recommended,python,java,This candidate has limited alignment with the current job requirements.
1541,VAMSKR070,Haritha,Software Engineer,select,select,56.15,50.0,16.32,29.79,56.15,42.14,Not Recommended,"api, aws, azure, git, java, python","artificial intelligence, data science, docker, google cloud, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1542,uppaup16,Charlie Smith,Data Engineer,reject,reject,63.47,58.33,14.42,31.98,36.53,42.11,Not Recommended,"azure, data science, hadoop, java, machine learning, python, spark","deep learning, docker, google cloud, kubernetes, natural language processing",This candidate has limited alignment with the current job requirements.
1543,VAMSKR052,Rohit,Database Administrator,select,select,62.33,45.45,20.51,30.49,62.33,42.09,Not Recommended,"mysql, oracle, python, sql, sql server","azure, hadoop, java, postgresql, power bi, tableau",This candidate has limited alignment with the current job requirements.
1544,uppaup394,Alice Smith,UI Engineer,select,select,52.49,50.0,18.72,31.23,52.49,42.05,Not Recommended,"javascript, typescript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1545,VAMSKR059,Deepthi,AI Engineer,reject,reject,51.99,50.0,22.01,33.21,48.01,42.05,Not Recommended,"artificial intelligence, aws, data science, deep learning, feature engineering, google cloud, machine learning, natural language processing, python, tensorflow","azure, computer vision, docker, hadoop, java, keras, kubernetes, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1546,uppaup77,Eve Miller,Data Engineer,select,select,56.58,50.0,15.57,29.34,56.58,42.02,Not Recommended,"docker, hadoop, java, python, scala, spark","aws, azure, data science, google cloud, kubernetes, r",This candidate has limited alignment with the current job requirements.
1547,VAMSKR128,Raghu,DevOps Engineer,select,select,60.47,45.45,21.14,30.86,60.47,41.89,Not Recommended,"aws, azure, docker, gitlab, kubernetes","artificial intelligence, git, google cloud, java, machine learning, python",This candidate has limited alignment with the current job requirements.
1548,uppaup54,Alice Smith,Data Engineer,reject,reject,57.86,56.25,13.46,30.58,42.14,41.88,Not Recommended,"aws, azure, data science, git, hadoop, java, machine learning, python, spark","docker, etl, google cloud, kubernetes, pytorch, scala, tensorflow",This candidate has limited alignment with the current job requirements.
1549,uppaup364,Hank Taylor,UI Engineer,select,reject,52.96,50.0,21.92,33.15,47.04,41.83,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1550,uppaup393,Grace Smith,Data Engineer,reject,reject,67.43,58.82,15.22,32.66,32.57,41.8,Not Recommended,"aws, azure, data visualization, google cloud, java, machine learning, power bi, python, spark, tableau","docker, etl, gcp, git, kubernetes, natural language processing, scala",This candidate has limited alignment with the current job requirements.
1551,uppaup367,Ivy Taylor,Data Engineer,select,select,52.59,50.0,17.67,30.6,52.59,41.79,Not Recommended,"data science, data visualization, etl, hadoop, java, power bi, python, scala, spark, tableau","aws, azure, docker, gcp, google cloud, hive, kubernetes, machine learning, pytorch, tensorflow",This candidate has limited alignment with the current job requirements.
1552,uppaup296,Charlie Davis,Data Engineer,reject,reject,61.89,53.33,21.31,34.12,38.11,41.64,Not Recommended,"data visualization, hadoop, java, machine learning, power bi, python, spark, tableau","artificial intelligence, aws, data science, docker, gcp, kubernetes, scala",This candidate has limited alignment with the current job requirements.
1553,uppaup46,Jack Williams,UI Engineer,select,reject,52.23,50.0,20.67,32.4,47.77,41.63,Not Recommended,"git, javascript","aws, azure",This candidate has limited alignment with the current job requirements.
1554,uppaup252,Ivy Williams,Data Scientist,reject,reject,58.14,52.63,19.81,32.94,41.86,41.62,Not Recommended,"data science, data visualization, machine learning, natural language processing, power bi, python, pytorch, r, tableau, tensorflow","artificial intelligence, aws, computer vision, data analysis, google cloud, hadoop, nlp, spark, statistics",This candidate has limited alignment with the current job requirements.
1555,uppaup116,Ivy Smith,UI Engineer,reject,reject,53.74,50.0,21.73,33.04,46.26,41.62,Not Recommended,"git, javascript","docker, kubernetes",This candidate has limited alignment with the current job requirements.
1556,VAMSKR012,Rahul,DevOps Engineer,select,select,53.04,46.15,24.11,32.93,53.04,41.58,Not Recommended,"aws, azure, docker, gitlab, kubernetes, python","git, google cloud, machine learning, power bi, pytorch, tableau, tensorflow",This candidate has limited alignment with the current job requirements.
1557,uppaup231,Charlie Moore,Data Engineer,select,select,66.16,46.15,14.37,27.08,66.16,41.57,Not Recommended,"aws, data visualization, hadoop, java, python, spark","artificial intelligence, docker, google cloud, kafka, kubernetes, machine learning, scala",This candidate has limited alignment with the current job requirements.
1558,uppaup233,Frank Moore,UI Engineer,reject,reject,56.27,50.0,23.31,33.99,43.73,41.54,Not Recommended,javascript,git,This candidate has limited alignment with the current job requirements.
1559,uppaup49,Grace Wilson,Data Scientist,reject,reject,55.52,52.63,17.41,31.5,44.48,41.49,Not Recommended,"data analysis, data visualization, machine learning, power bi, python, pytorch, r, sql, tableau, tensorflow","aws, computer vision, etl, google cloud, hadoop, natural language processing, nlp, spark, statistics",This candidate has limited alignment with the current job requirements.
1560,uppaup446,Jack Brown,Data Engineer,select,select,53.15,50.0,15.89,29.53,53.15,41.42,Not Recommended,"data science, data visualization, etl, java, python, scala, spark","aws, azure, docker, gcp, kubernetes, mongodb, mysql",This candidate has limited alignment with the current job requirements.
1561,uppaup268,Charlie Williams,Data Scientist,reject,reject,62.66,55.56,16.69,32.24,37.34,41.42,Not Recommended,"data science, data visualization, machine learning, natural language processing, power bi, python, r, sql, tableau, tensorflow","aws, azure, computer vision, google cloud, hadoop, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1562,uppaup68,Frank Brown,Data Scientist,select,select,63.19,44.44,19.31,29.36,63.19,41.4,Not Recommended,"data science, data visualization, machine learning, python, r, sql, tableau, tensorflow","aws, azure, computer vision, gcp, hadoop, natural language processing, power bi, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1563,uppaup232,Hank Smith,Software Engineer,reject,reject,56.72,55.56,12.07,29.47,43.28,41.36,Not Recommended,"aws, azure, git, java, python","artificial intelligence, docker, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1564,kabira339,kabir rao,data scientist,reject,select,59.75,50.0,9.98,25.99,59.75,41.15,Not Recommended,machine learning,statistics,This candidate has limited alignment with the current job requirements.
1565,uppaup323,Alice Moore,UI Engineer,reject,reject,51.09,50.0,17.98,30.79,48.91,41.14,Not Recommended,javascript,api,This candidate has limited alignment with the current job requirements.
1566,uppaup221,Alice Moore,Software Engineer,reject,reject,57.37,54.55,13.61,29.99,42.63,41.11,Not Recommended,"aws, azure, google cloud, java, javascript, python","artificial intelligence, docker, kubernetes, machine learning, sql",This candidate has limited alignment with the current job requirements.
1567,uppaup23,Alice Smith,Data Engineer,reject,reject,62.45,53.33,19.71,33.16,37.55,41.1,Not Recommended,"aws, data visualization, hadoop, java, power bi, python, spark, tableau","data science, docker, google cloud, machine learning, pytorch, scala, tensorflow",This candidate has limited alignment with the current job requirements.
1568,uppaup63,Jack Brown,Data Scientist,select,select,51.25,50.0,15.94,29.56,51.25,41.05,Not Recommended,"data analysis, data science, data visualization, machine learning, python, pytorch, r, sql, tableau, tensorflow, time series","aws, azure, computer vision, etl, google cloud, hadoop, natural language processing, nlp, power bi, spark, statistics",This candidate has limited alignment with the current job requirements.
1569,VAMSKR106,Kalyan,Cloud Architect,select,select,68.05,42.86,17.2,27.46,68.05,40.97,Not Recommended,"aws, azure, google cloud","artificial intelligence, docker, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1570,uppaup228,Frank Johnson,Data Engineer,select,select,50.54,47.62,20.8,31.53,50.54,40.96,Not Recommended,"data visualization, etl, java, kafka, machine learning, python, pytorch, spark, tableau, tensorflow","artificial intelligence, aws, azure, data science, docker, gcp, google cloud, hadoop, kubernetes, power bi, scala",This candidate has limited alignment with the current job requirements.
1571,uppaup262,Jack Williams,UI Engineer,reject,reject,59.43,50.0,23.44,34.06,40.57,40.94,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1572,VAMSKR185,Ganesh,AI Engineer,reject,reject,51.19,47.37,22.4,32.39,48.81,40.92,Not Recommended,"aws, docker, google cloud, java, keras, machine learning, natural language processing, python, tensorflow","artificial intelligence, azure, computer vision, data visualization, deep learning, feature engineering, kubernetes, power bi, pytorch, tableau",This candidate has limited alignment with the current job requirements.
1573,VAMSKR073,Pooja,Cloud Architect,select,select,61.95,42.86,21.35,29.95,61.95,40.87,Not Recommended,"aws, azure, google cloud","artificial intelligence, docker, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1574,VAMSKR115,Nandini,Data Analyst,reject,select,52.76,46.67,20.31,30.85,52.76,40.77,Not Recommended,"data visualization, machine learning, power bi, python, r, sql, tableau","aws, data analysis, etl, excel, gcp, google cloud, statistics, time series",This candidate has limited alignment with the current job requirements.
1575,uppaup341,Bob Smith,Product Manager,select,select,56.61,40.0,29.78,33.87,56.61,40.56,Not Recommended,"data analysis, tableau","aws, google cloud, power bi",This candidate has limited alignment with the current job requirements.
1576,uppaup129,Eve Brown,UI Engineer,reject,reject,62.28,50.0,23.92,34.35,37.72,40.5,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1577,durgba185,Jason Johnson,Data Engineer,reject,select,51.46,50.0,13.62,28.17,51.46,40.47,Not Recommended,python,etl,This candidate has limited alignment with the current job requirements.
1578,durgba004,Guy Shaw,Data Engineer,select,select,50.59,50.0,14.24,28.54,50.59,40.46,Not Recommended,python,etl,This candidate has limited alignment with the current job requirements.
1579,uppaup124,Alice Jones,Product Manager,reject,reject,57.72,50.0,20.23,32.14,42.28,40.42,Not Recommended,"data analysis, tableau","power bi, sql",This candidate has limited alignment with the current job requirements.
1580,VAMSKR043,Sowmya,Cloud Architect,reject,select,54.84,45.45,19.4,29.82,54.84,40.29,Not Recommended,"aws, azure, docker, google cloud, kubernetes","data science, gitlab, kafka, machine learning, pytorch, tensorflow",This candidate has limited alignment with the current job requirements.
1581,uppaup363,Hank Davis,UI Engineer,reject,reject,56.57,50.0,18.89,31.33,43.43,40.28,Not Recommended,"git, javascript","github, python",This candidate has limited alignment with the current job requirements.
1582,uppaup283,Ivy Davis,Data Scientist,reject,reject,59.21,52.38,16.01,30.56,40.79,40.24,Not Recommended,"data science, data visualization, machine learning, matplotlib, numpy, pandas, python, pytorch, r, sql, tensorflow","aws, azure, computer vision, data mining, docker, gcp, git, kubernetes, natural language processing, statistics",This candidate has limited alignment with the current job requirements.
1583,uppaup166,Eve Williams,Software Engineer,reject,reject,56.9,53.85,11.22,28.27,43.1,40.19,Not Recommended,"aws, azure, git, google cloud, java, machine learning, python","data analysis, docker, github, kubernetes, power bi, tableau",This candidate has limited alignment with the current job requirements.
1584,aditsi352,aditya singh,data scientist,reject,select,55.12,50.0,9.58,25.75,55.12,40.11,Not Recommended,sql,deep learning,This candidate has limited alignment with the current job requirements.
1585,uppaup79,Diana Smith,UI Engineer,reject,reject,59.48,50.0,20.27,32.16,40.52,40.08,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1586,KotaSai48,Kashvi Kumari,Data Scientist,select,select,59.67,50.0,5.92,23.55,59.67,40.03,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1587,uppaup41,Diana Taylor,Data Scientist,reject,reject,54.25,50.0,16.09,29.65,45.75,39.99,Not Recommended,"data science, data visualization, machine learning, matplotlib, python, r, sql, tableau, tensorflow","aws, azure, computer vision, gcp, hadoop, natural language processing, pytorch, spark, statistics",This candidate has limited alignment with the current job requirements.
1588,KotaSai147,Manasi Basu,Data Scientist,select,select,61.16,50.0,4.6,22.76,61.16,39.97,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1589,VAMSKR100,Manoj,Software Engineer,select,select,71.46,40.0,16.47,25.88,71.46,39.94,Not Recommended,"docker, git, java, python","aws, azure, data science, google cloud, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1590,uppaup178,Bob Taylor,Data Engineer,select,select,56.89,46.67,14.11,27.13,56.89,39.92,Not Recommended,"aws, data science, etl, java, machine learning, python, spark","azure, docker, git, google cloud, hadoop, kubernetes, natural language processing, scala",This candidate has limited alignment with the current job requirements.
1591,VAMSKR116,Meghana,Data Analyst,select,select,59.24,41.67,22.1,29.93,59.24,39.9,Not Recommended,"data analysis, data visualization, excel, power bi, tableau","aws, azure, hadoop, machine learning, spark, sql, statistics",This candidate has limited alignment with the current job requirements.
1592,uppaup462,Jack Brown,UI Engineer,reject,reject,62.51,50.0,21.82,33.09,37.49,39.89,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1593,uppaup110,Alice Wilson,UI Engineer,reject,reject,62.79,50.0,21.98,33.19,37.21,39.88,Not Recommended,javascript,python,This candidate has limited alignment with the current job requirements.
1594,uppaup9,Bob Moore,UI Engineer,reject,reject,57.8,50.0,18.29,30.97,42.2,39.88,Not Recommended,"docker, git, javascript","aws, google cloud, kubernetes",This candidate has limited alignment with the current job requirements.
1595,uppaup229,Jack Moore,Data Engineer,select,select,59.51,44.44,16.35,27.59,59.51,39.87,Not Recommended,"data science, data visualization, hive, java, machine learning, power bi, python, tableau","artificial intelligence, aws, azure, docker, gitlab, google cloud, hadoop, kubernetes, scala, spark",This candidate has limited alignment with the current job requirements.
1596,uppaup301,Bob Johnson,Data Engineer,reject,reject,56.32,47.62,21.78,32.12,43.68,39.86,Not Recommended,"aws, azure, data visualization, etl, hadoop, java, power bi, python, spark, tableau","artificial intelligence, data science, docker, gcp, machine learning, mongodb, mysql, postgresql, pytorch, scala, tensorflow",This candidate has limited alignment with the current job requirements.
1597,stevki694,Steven Kim,Data Engineer,select,select,55.13,50.0,8.55,25.13,55.13,39.83,Not Recommended,spark,mlops,This candidate has limited alignment with the current job requirements.
1598,VAMSKR015,Rajendra,Data Analyst,reject,reject,60.77,50.0,20.29,32.17,39.23,39.82,Not Recommended,"data science, data visualization, power bi, python, r, statistics, tableau","artificial intelligence, aws, azure, data analysis, etl, machine learning, sql",This candidate has limited alignment with the current job requirements.
1599,uppaup94,Frank Jones,Data Scientist,select,select,53.85,47.37,14.58,27.7,53.85,39.81,Not Recommended,"data science, data visualization, machine learning, python, pytorch, r, sql, tableau, tensorflow","aws, azure, data analysis, git, google cloud, hadoop, kafka, power bi, spark, statistics",This candidate has limited alignment with the current job requirements.
1600,uppaup429,Grace Moore,UI Engineer,reject,reject,62.65,50.0,21.59,32.95,37.35,39.8,Not Recommended,"git, javascript","aws, google cloud",This candidate has limited alignment with the current job requirements.
1601,uppaup331,Charlie Johnson,Product Manager,reject,reject,56.13,50.0,16.44,29.86,43.87,39.71,Not Recommended,data analysis,tableau,This candidate has limited alignment with the current job requirements.
1602,uppaup72,Ivy Moore,Software Engineer,select,select,55.85,45.45,16.36,28.0,55.85,39.68,Not Recommended,"aws, azure, git, java, python","api, artificial intelligence, docker, google cloud, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1603,laural255,Lauren Allen,Data Engineer,select,select,54.77,50.0,8.09,24.85,54.77,39.64,Not Recommended,mlops,etl,This candidate has limited alignment with the current job requirements.
1604,stepca853,stephanie campos,data engineer,reject,reject,56.91,50.0,16.57,29.94,43.09,39.59,Not Recommended,spark,mlops,This candidate has limited alignment with the current job requirements.
1605,daviru578,David Russell,Machine Learning Engineer,select,select,52.93,50.0,8.85,25.31,52.93,39.48,Not Recommended,machine learning,data science,This candidate has limited alignment with the current job requirements.
1606,lindro403,lindsey rodriguez,data engineer,reject,reject,54.68,50.0,14.3,28.58,45.32,39.42,Not Recommended,mlops,spark,This candidate has limited alignment with the current job requirements.
1607,uppaup201,Jack Jones,Data Engineer,select,select,57.22,42.11,20.85,29.35,57.22,39.39,Not Recommended,"aws, azure, data science, etl, java, machine learning, python, scala","deep learning, docker, google cloud, hadoop, kubernetes, mongodb, numpy, pandas, pytorch, spark, tensorflow",This candidate has limited alignment with the current job requirements.
1608,stevmi768,Steven Miller,Machine Learning Engineer,reject,select,54.03,50.0,7.6,24.56,54.03,39.36,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1609,uppaup138,Jack Brown,UI Engineer,reject,reject,65.13,50.0,21.62,32.97,34.87,39.31,Not Recommended,javascript,git,This candidate has limited alignment with the current job requirements.
1610,uppaup345,Grace Moore,Software Engineer,select,reject,50.07,50.0,10.3,26.18,49.93,39.27,Not Recommended,"aws, azure, docker, java, python","artificial intelligence, gitlab, google cloud, kubernetes, machine learning",This candidate has limited alignment with the current job requirements.
1611,meliho349,melissa holmes,software engineer,select,reject,56.85,50.0,15.21,29.13,43.15,39.24,Not Recommended,java,python,This candidate has limited alignment with the current job requirements.
1612,lawrjo562,lawrence jones,data engineer,select,reject,50.1,50.0,10.18,26.11,49.9,39.23,Not Recommended,mlops,etl,This candidate has limited alignment with the current job requirements.
1613,mr.pa590,mr. patrick carroll,data engineer,select,reject,54.42,50.0,13.17,27.9,45.58,39.17,Not Recommended,etl,mlops,This candidate has limited alignment with the current job requirements.
1614,chrida615,Christopher Davidson,Machine Learning Engineer,reject,reject,50.36,50.0,10.12,26.07,49.64,39.16,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1615,VAMSKR068,Srinivas,Machine Learning Engineer,reject,select,52.74,44.44,18.74,29.02,52.74,39.16,Not Recommended,"aws, azure, docker, kubernetes, machine learning, python, pytorch, tensorflow","computer vision, data science, deep learning, feature engineering, gcp, java, natural language processing, nlp, spark, sql",This candidate has limited alignment with the current job requirements.
1616,mirasi448,mira singh,data scientist,select,reject,50.82,50.0,10.25,26.15,49.18,39.1,Not Recommended,machine learning,statistics,This candidate has limited alignment with the current job requirements.
1617,KotaSai34,Ujjwal Gupta,Data Scientist,select,select,58.08,50.0,3.62,22.17,58.08,39.09,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1618,durgba079,Christine Bond,Software Engineer,reject,reject,63.06,50.0,19.25,31.55,36.94,39.09,Not Recommended,java,api,This candidate has limited alignment with the current job requirements.
1619,kennhe834,Kenneth Hess,Data Analyst,reject,reject,50.09,50.0,9.62,25.77,49.91,39.08,Not Recommended,python,excel,This candidate has limited alignment with the current job requirements.
1620,maurfa751,maurice farrell,data scientist,select,reject,56.55,50.0,14.36,28.62,43.45,39.07,Not Recommended,"data visualization, statistics","deep learning, sql",This candidate has limited alignment with the current job requirements.
1621,KotaSai40,Yagna Singh,Data Scientist,select,select,56.21,50.0,4.66,22.8,56.21,39.0,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1622,durgba131,Melissa Porter,Data Scientist,select,reject,50.16,50.0,9.25,25.55,49.84,38.97,Not Recommended,"data visualization, python","nlp, statistics",This candidate has limited alignment with the current job requirements.
1623,KotaSai183,Eshani Sharma,Data Scientist,reject,select,55.22,50.0,4.91,22.95,55.22,38.87,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1624,robeal710,Robert Allen,Cloud Architect,reject,reject,55.48,50.0,12.8,27.68,44.52,38.86,Not Recommended,kubernetes,gcp,This candidate has limited alignment with the current job requirements.
1625,VAMSKR117,Navya,Machine Learning Engineer,reject,select,50.43,44.44,19.29,29.35,50.43,38.85,Not Recommended,"aws, feature engineering, google cloud, machine learning, python, pytorch, r, tensorflow","azure, computer vision, deep learning, docker, gitlab, java, kubernetes, natural language processing, nlp, sql",This candidate has limited alignment with the current job requirements.
1626,KotaSai50,Jivin Bhatt,Data Scientist,reject,select,54.2,50.0,5.54,23.32,54.2,38.83,Not Recommended,machine learning,data analysis,This candidate has limited alignment with the current job requirements.
1627,justgr889,justin graham,data engineer,reject,reject,54.93,50.0,12.16,27.3,45.07,38.8,Not Recommended,spark,etl,This candidate has limited alignment with the current job requirements.
1628,lindyo746,linda young,data engineer,select,reject,60.73,50.0,16.38,29.83,39.27,38.78,Not Recommended,mlops,etl,This candidate has limited alignment with the current job requirements.
1629,uppaup126,Ivy Moore,Data Engineer,reject,reject,60.99,47.62,21.25,31.8,39.01,38.78,Not Recommended,"data visualization, hadoop, java, machine learning, power bi, python, scala, spark, tableau, tensorflow","artificial intelligence, aws, azure, data science, docker, etl, gcp, git, hive, kubernetes, pytorch",This candidate has limited alignment with the current job requirements.
1630,uppaup474,Alice Moore,Data Scientist,reject,reject,61.84,50.0,17.18,30.31,38.16,38.77,Not Recommended,"data science, data visualization, machine learning, power bi, python, r, tableau, tensorflow","aws, deep learning, gcp, git, hadoop, natural language processing, spark, statistics",This candidate has limited alignment with the current job requirements.
1631,anneco478,Anne Cole,Business Analyst,select,reject,50.98,50.0,9.15,25.49,49.02,38.77,Not Recommended,data analysis,sql,This candidate has limited alignment with the current job requirements.
1632,kimbke726,Kimberly Kelley,Data Engineer,reject,select,50.81,50.0,7.3,24.38,50.81,38.63,Not Recommended,spark,mlops,This candidate has limited alignment with the current job requirements.
