final_rank,ID,Name,Role,text_similarity_score,skill_match_score,selection_probability,final_match_score,final_recommendation,matched_skills_text,missing_skills_text
2609,brenga960,Brenda Garcia,AR/VR Developer,9.0,0.0,68.33,26.7,Not Recommended,None,data analysis
2610,branac209,brandi acosta,product manager,15.9,0.0,39.23,26.69,Not Recommended,None,None
2611,keithi781,Keith Hinton,AR/VR Developer,10.01,0.0,64.04,26.69,Not Recommended,None,None
2612,whitfe750,Whitney Ferguson,Robotics Engineer,12.98,0.0,51.53,26.69,Not Recommended,None,None
2613,glorbo746,Gloria Boyd,Game Developer,7.98,0.0,72.57,26.69,Not Recommended,None,None
2614,jesscl246,Jessica Clark,UX Designer,10.87,0.0,60.36,26.68,Not Recommended,None,data analysis
2615,robecl862,robert clark,ui engineer,14.35,0.0,45.69,26.67,Not Recommended,None,None
2616,davile144,David Lee,Full Stack Developer,12.51,0.0,53.41,26.66,Not Recommended,None,None
2617,dawnfa352,Dawn Farmer,Blockchain Developer,15.36,0.0,41.38,26.65,Not Recommended,None,None
2618,mirash766,mira sharma,ui engineer,11.62,0.0,57.04,26.63,Not Recommended,None,None
2619,lucara864,Lucas Ramos,Digital Marketing Specialist,11.33,0.0,58.28,26.63,Not Recommended,None,None
2620,rosegr524,Rose Green,Robotics Engineer,14.35,0.0,45.53,26.62,Not Recommended,None,None
2621,durgba173,Vincent Adams,UI Engineer,15.69,0.0,39.81,26.6,Not Recommended,None,None
2622,lisaga668,Lisa Gallagher,Cloud Engineer,14.3,0.0,45.64,26.6,Not Recommended,None,None
2623,ryanba729,Ryan Barnes,AR/VR Developer,12.19,0.0,54.55,26.6,Not Recommended,None,None
2624,tiffth942,Tiffany Thomas,Blockchain Developer,11.15,0.0,58.85,26.58,Not Recommended,None,machine learning
2625,elizmc622,Elizabeth Mccall,Digital Marketing Specialist,11.59,0.0,56.96,26.57,Not Recommended,None,machine learning
2626,sarabi356,Sarah Bishop,Full Stack Developer,14.51,0.0,44.62,26.56,Not Recommended,None,data analysis
2627,davifl681,David Flores,Full Stack Developer,12.89,0.0,51.44,26.56,Not Recommended,None,None
2628,renela795,Renee Landry,AR/VR Developer,9.52,0.0,65.59,26.55,Not Recommended,None,None
2629,kathwa130,Kathleen Ward,Full Stack Developer,12.13,0.0,54.61,26.55,Not Recommended,None,None
2630,alliha444,Allison Harrison,Full Stack Developer,12.71,0.0,52.14,26.54,Not Recommended,None,None
2631,rohame221,rohan mehta,ui engineer,11.36,0.0,57.83,26.54,Not Recommended,None,None
2632,harima115,Neha,UI Designer,9.08,0.0,67.4,26.53,Not Recommended,None,None
2633,katijo654,Katie Johnson,Full Stack Developer,14.35,0.0,45.21,26.53,Not Recommended,None,data science
2634,andrke104,Andre Kent,Full Stack Developer,11.73,0.0,56.23,26.53,Not Recommended,None,data science
2635,johnre751,John Reeves,Human Resources Specialist,13.29,0.0,49.61,26.52,Not Recommended,None,None
2636,shelwi271,Shelby Wilson,Full Stack Developer,12.16,0.0,54.23,26.48,Not Recommended,None,None
2637,richla181,Richard Landry,UX Designer,10.22,0.0,62.4,26.48,Not Recommended,None,data analysis
2638,philke664,philip kelley,ui engineer,14.73,0.0,43.39,26.47,Not Recommended,None,None
2639,harima20,Rajiv,UI Designer,10.04,0.0,63.09,26.46,Not Recommended,None,None
2640,marggr168,Margaret Greer,UX Designer,11.16,0.0,58.35,26.45,Not Recommended,None,None
2641,krisbe230,Kristina Benson,Full Stack Developer,12.58,0.0,52.32,26.44,Not Recommended,None,None
2642,scotke233,Scott Kelley,Full Stack Developer,14.23,0.0,45.36,26.43,Not Recommended,None,None
2643,harima66,Ethan,UI Designer,11.48,0.0,56.91,26.42,Not Recommended,None,None
2644,mrs.ji164,Mrs. Jill Velazquez DDS,Full Stack Developer,13.33,0.0,49.07,26.41,Not Recommended,None,None
2645,jodisi945,Jodi Singh,Full Stack Developer,13.52,0.0,48.2,26.39,Not Recommended,None,None
2646,stepro867,stephanie ross,product manager,15.44,0.0,40.11,26.39,Not Recommended,None,None
2647,hannro479,Hannah Robinson,Game Developer,6.32,0.0,78.49,26.38,Not Recommended,None,None
2648,samuho458,Samuel Hobbs,AR/VR Developer,9.72,0.0,64.15,26.38,Not Recommended,None,None
2649,ericmc600,Eric Mcpherson,AR/VR Developer,8.64,0.0,68.7,26.38,Not Recommended,None,None
2650,briach598,Brian Cherry,Full Stack Developer,11.83,0.0,55.27,26.38,Not Recommended,None,None
2651,kimbha246,Kimberly Harris,Cloud Engineer,12.85,0.0,50.93,26.36,Not Recommended,None,None
2652,willed663,William Edwards,Digital Marketing Specialist,11.97,0.0,54.62,26.36,Not Recommended,None,None
2653,patrju265,Patricia Juarez,UX Designer,11.3,0.0,57.43,26.36,Not Recommended,None,machine learning
2654,mrs.sa817,Mrs. Samantha Boyle DDS,Game Developer,8.81,0.0,67.9,26.35,Not Recommended,None,None
2655,sarasm936,Sara Smith,Full Stack Developer,12.71,0.0,51.42,26.34,Not Recommended,None,None
2656,scotgo620,Scott Golden,Mobile App Developer,11.62,0.0,56.02,26.34,Not Recommended,None,None
2657,erikpa501,Erik Palmer,AR/VR Developer,10.88,0.0,59.11,26.33,Not Recommended,None,None
2658,marcfr242,Marc French,Robotics Engineer,10.94,0.0,58.8,26.32,Not Recommended,None,None
2659,geraro824,Gerald Robinson,UX Designer,10.17,0.0,62.02,26.31,Not Recommended,None,machine learning
2660,markma447,Mark Martin,Mobile App Developer,11.17,0.0,57.8,26.31,Not Recommended,None,None
2661,jennsi152,Jennifer Simmons,Mobile App Developer,11.64,0.0,55.83,26.31,Not Recommended,None,None
2662,shanma373,Shannon Matthews,Full Stack Developer,11.63,0.0,55.83,26.3,Not Recommended,None,None
2663,pegggl483,Peggy Glover,Full Stack Developer,12.1,0.0,53.86,26.3,Not Recommended,None,None
2664,ambeto599,Amber Torres,Digital Marketing Specialist,11.92,0.0,54.57,26.29,Not Recommended,None,None
2665,harima109,Isabella,UI Designer,9.26,0.0,65.8,26.29,Not Recommended,None,None
2666,victro438,victoria robbins,product manager,15.46,0.0,39.68,26.29,Not Recommended,None,None
2667,markca303,Mark Carter,Digital Marketing Specialist,8.84,0.0,67.51,26.28,Not Recommended,None,None
2668,robebr845,Robert Brewer,Cloud Engineer,14.35,0.0,44.31,26.28,Not Recommended,None,None
2669,joshel856,Joshua Elliott,UX Designer,12.33,0.0,52.84,26.28,Not Recommended,None,None
2670,adamro568,Adam Rogers,Game Developer,9.95,0.0,62.86,26.28,Not Recommended,None,None
2671,edwabo735,Edward Bond,UX Designer,9.03,0.0,66.63,26.26,Not Recommended,None,data analysis
2672,courgu368,Courtney Guzman,Human Resources Specialist,12.84,0.0,50.59,26.25,Not Recommended,None,None
2673,seanha429,Sean Haley,Mobile App Developer,11.36,0.0,56.74,26.23,Not Recommended,None,None
2674,timobl402,Timothy Black,Human Resources Specialist,14.7,0.0,42.67,26.23,Not Recommended,None,None
2675,dwayho662,Dwayne Horton,Data Architect,9.51,0.0,64.48,26.22,Not Recommended,None,data science
2676,margbr362,Margaret Brown,Full Stack Developer,13.91,0.0,45.97,26.22,Not Recommended,None,None
2677,margyo549,Margaret Young,QA Engineer,15.12,0.0,40.85,26.21,Not Recommended,None,None
2678,jonasi703,Jonathan Simpson,Mobile App Developer,12.14,0.0,53.37,26.21,Not Recommended,None,None
2679,renemo186,Renee Morgan,Robotics Engineer,11.16,0.0,57.48,26.2,Not Recommended,None,None
2680,lynnco283,Lynn Cole,Robotics Engineer,13.1,0.0,49.23,26.18,Not Recommended,None,None
2681,britda781,Brittney Davis,Full Stack Developer,10.74,0.0,59.18,26.18,Not Recommended,None,None
2682,johnwi806,John Williams,Mobile App Developer,12.76,0.0,50.64,26.17,Not Recommended,None,None
2683,VAMSKR114,Devi,Software Engineer,13.7,0.0,46.63,26.16,Not Recommended,None,"java, python"
2684,michan193,Michael Anderson,Full Stack Developer,13.66,0.0,46.8,26.16,Not Recommended,None,None
2685,alicmi742,Alicia Mitchell,Product Manager,12.35,0.0,52.27,26.15,Not Recommended,None,None
2686,amyng366,Amy Nguyen,Full Stack Developer,11.7,0.0,55.02,26.15,Not Recommended,None,None
2687,kennba898,Kenneth Barrett,UX Designer,11.39,0.0,56.31,26.15,Not Recommended,None,None
2688,chelsh916,Chelsea Shannon,Digital Marketing Specialist,12.35,0.0,52.24,26.14,Not Recommended,None,None
2689,amyha402,Amy Hall,Digital Marketing Specialist,10.23,0.0,61.13,26.13,Not Recommended,None,None
2690,samaor522,Samantha Ortiz,Human Resources Specialist,12.26,0.0,52.44,26.09,Not Recommended,None,None
2691,willsh508,William Shea,Digital Marketing Specialist,11.17,0.0,57.04,26.09,Not Recommended,None,None
2692,annemu591,Anne Murphy,Game Developer,15.69,0.0,37.94,26.07,Not Recommended,None,None
2693,harima75,Arjun,UI Designer,11.5,0.0,55.58,26.07,Not Recommended,None,None
2694,rivash0767,mythily kohli,ui designer,11.05,0.0,57.39,26.05,Not Recommended,None,None
2695,chrijo434,Christopher Johnson,Human Resources Specialist,9.46,0.0,64.09,26.05,Not Recommended,None,None
2696,ariaca739,Ariana Case,Full Stack Developer,12.73,0.0,50.3,26.04,Not Recommended,None,None
2697,cyntbr502,Cynthia Bradford,Full Stack Developer,12.07,0.0,53.07,26.04,Not Recommended,None,None
2698,michyo555,Michael Young,E-commerce Specialist,12.39,0.0,51.74,26.04,Not Recommended,None,None
2699,alexbu214,Alexandra Burnett,Mobile App Developer,12.64,0.0,50.64,26.03,Not Recommended,None,None
2700,sandbr875,Sandra Briggs,IT Support Specialist,9.87,0.0,62.31,26.03,Not Recommended,None,None
2701,jonawa162,Jonathan Wallace,Full Stack Developer,12.8,0.0,49.94,26.02,Not Recommended,None,None
2702,mattsi415,Matthew Simpson,AR/VR Developer,9.49,0.0,63.86,26.02,Not Recommended,None,None
2703,chrimc264,Christine Mccullough,Digital Marketing Specialist,10.79,0.0,58.4,26.02,Not Recommended,None,None
2704,erikba763,Erik Bartlett,Digital Marketing Specialist,11.66,0.0,54.7,26.01,Not Recommended,None,None
2705,harima23,Arjun,UI Designer,9.01,0.0,65.82,26.0,Not Recommended,None,None
2706,heatfo377,Heather Ford,E-commerce Specialist,14.66,0.0,42.02,26.0,Not Recommended,None,None
2707,stevsm183,steven smith,product manager,13.96,0.0,44.95,25.99,Not Recommended,None,None
2708,marcro574,Marcus Roach,Digital Marketing Specialist,11.79,0.0,54.05,25.98,Not Recommended,None,data science
2709,erinor572,Erin Ortiz,Full Stack Developer,13.08,0.0,48.61,25.98,Not Recommended,None,machine learning
2710,michke488,michael kennedy,ui engineer,13.75,0.0,45.76,25.97,Not Recommended,None,None
2711,tyleda934,Tyler Day,DevOps Engineer,14.36,0.0,43.21,25.97,Not Recommended,None,None
2712,marigi915,Maria Gibson,Digital Marketing Specialist,11.04,0.0,57.18,25.97,Not Recommended,None,None
2713,marism266,marissa smith,ui engineer,14.31,0.0,43.36,25.96,Not Recommended,None,None
2714,margru955,Margaret Russell,DevOps Engineer,9.83,0.0,62.23,25.96,Not Recommended,None,None
2715,stevfr779,steven frey,ui engineer,15.53,0.0,38.2,25.95,Not Recommended,None,None
2716,joshgr946,Joshua Griffin,Human Resources Specialist,9.99,0.0,61.49,25.94,Not Recommended,None,None
2717,latawh297,Latasha White,IT Support Specialist,12.87,0.0,49.33,25.93,Not Recommended,None,None
2718,chriha714,Christopher Hammond,Digital Marketing Specialist,10.14,0.0,60.77,25.92,Not Recommended,None,None
2719,aaraiy951,aarav iyer,product manager,13.31,0.0,47.36,25.9,Not Recommended,None,None
2720,adricr294,Adrian Cruz,Game Developer,8.73,0.0,66.64,25.9,Not Recommended,None,None
2721,ricake596,Ricardo Kennedy,Data Architect,10.4,0.0,59.56,25.88,Not Recommended,None,data science
2722,isaape722,Isaac Pearson,Full Stack Developer,13.84,0.0,45.05,25.88,Not Recommended,None,None
2723,sharda177,Sharon Davis,Database Administrator,14.54,0.0,42.09,25.87,Not Recommended,None,None
2724,ericmc771,Eric Mcconnell,Full Stack Developer,13.35,0.0,47.06,25.86,Not Recommended,None,None
2725,brenha344,Brent Harrington,Full Stack Developer,11.92,0.0,53.06,25.85,Not Recommended,None,None
2726,harima13,Diya,UI Designer,8.35,0.0,68.03,25.84,Not Recommended,None,None
2727,rachgr373,Rachel Green,System Administrator,12.33,0.0,51.25,25.83,Not Recommended,None,None
2728,saramo188,Sarah Morales,Full Stack Developer,12.25,0.0,51.58,25.83,Not Recommended,None,None
2729,briama125,Brian Martin,Full Stack Developer,13.18,0.0,47.65,25.82,Not Recommended,None,None
2730,daniha846,Danielle Hall,Full Stack Developer,11.94,0.0,52.85,25.82,Not Recommended,None,None
2731,janebr922,Janet Bruce,Full Stack Developer,12.96,0.0,48.57,25.82,Not Recommended,None,None
2732,melimo617,Melinda Moore,Full Stack Developer,12.92,0.0,48.66,25.8,Not Recommended,None,data science
2733,laurha766,Laura Hayes MD,AR/VR Developer,10.84,0.0,57.42,25.8,Not Recommended,None,None
2734,lisara794,Lisa Randall,Game Developer,9.53,0.0,62.85,25.78,Not Recommended,None,None
2735,kimbst111,Kimberly Stein,UX Designer,11.63,0.0,53.97,25.77,Not Recommended,None,None
2736,jackha406,Jack Hawkins,E-commerce Specialist,13.56,0.0,45.82,25.76,Not Recommended,None,None
2737,saraga468,Sarah Garcia,Product Manager,12.45,0.0,50.49,25.76,Not Recommended,None,None
2738,uppaup300,Hank Williams,Product Manager,7.65,0.0,70.67,25.75,Not Recommended,None,"aws, data analysis, google cloud, tableau"
2739,johnmi930,John Mitchell,Full Stack Developer,12.93,0.0,48.45,25.75,Not Recommended,None,None
2740,marybr956,Mary Brooks MD,Digital Marketing Specialist,11.14,0.0,55.89,25.73,Not Recommended,None,None
2741,mrs.su256,Mrs. Susan Stephens,Full Stack Developer,12.64,0.0,49.58,25.73,Not Recommended,None,None
2742,michjo338,michael johnson,data engineer,13.57,0.0,45.69,25.73,Not Recommended,None,mlops
2743,dr.br282,Dr. Brian Reed,Mobile App Developer,11.62,0.0,53.86,25.72,Not Recommended,None,None
2744,jamemc300,James Mcdowell,Digital Marketing Specialist,11.23,0.0,55.46,25.71,Not Recommended,None,None
2745,stacma659,Stacy Martin,Mobile App Developer,13.29,0.0,46.79,25.71,Not Recommended,None,None
2746,mariwe256,Mariah Wells,AR/VR Developer,8.53,0.0,66.79,25.7,Not Recommended,None,None
2747,carlno418,Carla Novak,Digital Marketing Specialist,10.15,0.0,59.98,25.7,Not Recommended,None,None
2748,dianca469,Diane Cameron,Full Stack Developer,10.73,0.0,57.49,25.69,Not Recommended,None,None
2749,maryra965,Mary Ramirez,Game Developer,8.51,0.0,66.83,25.69,Not Recommended,None,data analysis
2750,patrra636,Patricia Randolph,UX Designer,12.86,0.0,48.53,25.69,Not Recommended,None,data analysis
2751,dianca656,Diana Cannon,Full Stack Developer,11.84,0.0,52.72,25.66,Not Recommended,None,None
2752,laurpr419,Lauren Preston,AR/VR Developer,8.68,0.0,66.0,25.66,Not Recommended,None,None
2753,mrs.ma816,Mrs. Mariah Torres,Mobile App Developer,10.9,0.0,56.62,25.65,Not Recommended,None,None
2754,harima150,Meera,UI Designer,9.44,0.0,62.79,25.65,Not Recommended,None,None
2755,thomjo358,Thomas Jones,Human Resources Specialist,11.95,0.0,52.23,25.65,Not Recommended,None,None
2756,markmc758,mark mcguire,software engineer,14.33,0.0,42.2,25.65,Not Recommended,None,None
2757,jorgmo665,Jorge Morgan DDS,Human Resources Specialist,11.98,0.0,52.01,25.63,Not Recommended,None,data analysis
2758,briaha924,Brian Hall,Game Developer,12.35,0.0,50.44,25.62,Not Recommended,None,data science
2759,sandbe587,Sandra Berger,AR/VR Developer,8.52,0.0,66.55,25.62,Not Recommended,None,None
2760,jasoho657,Jason Howard,Mobile App Developer,11.53,0.0,53.83,25.61,Not Recommended,None,None
2761,sheile797,Sheila Lee,Full Stack Developer,11.42,0.0,54.26,25.6,Not Recommended,None,None
2762,michmo483,Michael Montgomery,Full Stack Developer,11.22,0.0,55.06,25.58,Not Recommended,None,None
2763,julibe487,Julian Berg,Full Stack Developer,12.93,0.0,47.83,25.58,Not Recommended,None,None
2764,evelbe550,Evelyn Bell,Game Developer,9.37,0.0,62.82,25.58,Not Recommended,None,data analysis
2765,noahsc683,Noah Scott,E-commerce Specialist,12.29,0.0,50.49,25.57,Not Recommended,None,None
2766,alexra628,Alexandra Rangel DDS,Mobile App Developer,9.83,0.0,60.83,25.56,Not Recommended,None,None
2767,thomch961,Thomas Chandler,Full Stack Developer,12.38,0.0,50.08,25.56,Not Recommended,None,None
2768,donnvi721,Donna Villa,Full Stack Developer,14.35,0.0,41.76,25.55,Not Recommended,None,data analysis
2769,shaumc600,Shaun Mccann,Full Stack Developer,12.28,0.0,50.49,25.55,Not Recommended,None,machine learning
2770,nicowa901,Nicole Wallace,E-commerce Specialist,12.39,0.0,50.0,25.55,Not Recommended,None,None
2771,kariga925,Kari Garcia,Digital Marketing Specialist,11.7,0.0,52.91,25.55,Not Recommended,None,None
2772,U_78,Lily,UI Designer,10.03,0.0,59.9,25.54,Not Recommended,None,None
2773,rivash0518,oni bhat,product manager,13.18,0.0,46.65,25.54,Not Recommended,None,None
2774,ericwa582,Eric Walker,Mobile App Developer,12.1,0.0,51.2,25.54,Not Recommended,None,data analysis
2775,jonapo972,Jonathan Powers,Digital Marketing Specialist,10.7,0.0,57.05,25.53,Not Recommended,None,None
2776,barrmo868,Barry Morgan,Blockchain Developer,13.12,0.0,46.83,25.52,Not Recommended,None,None
2777,mr.jo150,Mr. John Bennett,Full Stack Developer,10.81,0.0,56.57,25.52,Not Recommended,None,None
2778,coregi557,Corey Gilmore,Human Resources Specialist,14.37,0.0,41.57,25.52,Not Recommended,None,None
2779,gabrwa879,Gabrielle Walker,AI Researcher,10.76,0.0,56.73,25.51,Not Recommended,None,data science
2780,durgba042,Steven Flores,Product Manager,14.05,0.0,42.73,25.47,Not Recommended,None,None
2781,belimc808,Belinda Mcdonald,Digital Marketing Specialist,11.25,0.0,54.5,25.46,Not Recommended,None,None
2782,mattwe364,Matthew Webster,Human Resources Specialist,13.13,0.0,46.57,25.46,Not Recommended,None,None
2783,weslmi873,Wesley Miller,Mobile App Developer,10.59,0.0,57.23,25.45,Not Recommended,None,machine learning
2784,kateco790,Katelyn Cox,Full Stack Developer,10.42,0.0,57.97,25.45,Not Recommended,None,None
2785,briame338,Brian Mercado,Full Stack Developer,11.91,0.0,51.69,25.45,Not Recommended,None,None
2786,courja917,Courtney Jacobs,AR/VR Developer,9.29,0.0,62.69,25.44,Not Recommended,None,None
2787,carohi285,Caroline Hill,AR/VR Developer,7.34,0.0,70.85,25.43,Not Recommended,None,None
2788,terrha275,Terri Hanson,Digital Marketing Specialist,12.86,0.0,47.6,25.43,Not Recommended,None,None
2789,kellpe639,Kelly Peterson,Mobile App Developer,12.5,0.0,49.09,25.42,Not Recommended,None,machine learning
2790,dr.an949,Dr. Angel Allison,Full Stack Developer,12.5,0.0,49.08,25.42,Not Recommended,None,None
2791,donlo670,Don Lowe,Business Analyst,12.57,0.0,48.76,25.41,Not Recommended,None,None
2792,lancgo127,Lance Gonzalez,AR/VR Developer,8.53,0.0,65.73,25.4,Not Recommended,None,None
2793,sarawa635,Sara Watkins DDS,Full Stack Developer,11.6,0.0,52.8,25.4,Not Recommended,None,data science
2794,paulha103,Paul Hamilton,Game Developer,10.15,0.0,58.9,25.4,Not Recommended,None,None
2795,therbr426,Theresa Brown,Full Stack Developer,11.81,0.0,51.91,25.39,Not Recommended,None,None
2796,johnda796,John Davila,Digital Marketing Specialist,11.65,0.0,52.49,25.37,Not Recommended,None,None
2797,josech486,Joseph Cherry,Mobile App Developer,11.57,0.0,52.77,25.35,Not Recommended,None,None
2798,sharmu450,Sharon Murray,Data Architect,9.45,0.0,61.64,25.34,Not Recommended,None,None
2799,diyasi576,diya singh,product manager,10.8,0.0,55.95,25.33,Not Recommended,None,None
2800,jamesm790,James Smith,Full Stack Developer,11.97,0.0,51.0,25.33,Not Recommended,None,None
2801,kaitba806,Kaitlyn Baker,Digital Marketing Specialist,10.35,0.0,57.74,25.3,Not Recommended,None,None
2802,robeco190,Roberto Cooper,Game Developer,9.08,0.0,63.06,25.3,Not Recommended,None,machine learning
2803,robean652,Robert Anderson,UX Designer,10.36,0.0,57.66,25.29,Not Recommended,None,machine learning
2804,harima193,Sophia,UI Designer,10.83,0.0,55.68,25.29,Not Recommended,None,None
2805,barrle179,Barry Lewis,Cybersecurity Analyst,10.46,0.0,57.19,25.28,Not Recommended,None,None
2806,robean254,Roberto Anthony,Game Developer,9.59,0.0,60.85,25.28,Not Recommended,None,None
2807,rivash0076,lahar mehta,ui designer,12.13,0.0,50.12,25.27,Not Recommended,None,None
2808,richcl189,Richard Clark,QA Engineer,7.1,0.0,71.25,25.26,Not Recommended,None,None
2809,ericco825,Eric Cook,Full Stack Developer,11.75,0.0,51.69,25.26,Not Recommended,None,data science
2810,ryanha922,Ryan Hatfield,Blockchain Developer,11.38,0.0,53.25,25.26,Not Recommended,None,machine learning
2811,waynma974,Wayne Martin,IT Support Specialist,11.05,0.0,54.61,25.25,Not Recommended,None,None
2812,lindro340,Linda Roberts,Mobile App Developer,12.48,0.0,48.53,25.24,Not Recommended,None,None
2813,sethha595,Seth Harris,Full Stack Developer,12.15,0.0,49.92,25.24,Not Recommended,None,None
2814,carlbu326,Carl Burton,Digital Marketing Specialist,9.27,0.0,62.07,25.24,Not Recommended,None,None
2815,jamego294,james gonzalez,ui engineer,13.81,0.0,42.96,25.24,Not Recommended,None,None
2816,adamll613,Adam Lloyd,Mobile App Developer,12.2,0.0,49.72,25.24,Not Recommended,None,None
2817,briaru577,Brian Rubio,Game Developer,8.75,0.0,64.22,25.23,Not Recommended,None,data science
2818,michjo142,Michael Johnson,IT Support Specialist,12.16,0.0,49.86,25.23,Not Recommended,None,None
2819,jackle576,jackie leon,ui engineer,14.38,0.0,40.51,25.23,Not Recommended,None,None
2820,daniki263,Daniel Kirby,Full Stack Developer,12.92,0.0,46.61,25.22,Not Recommended,None,None
2821,krissm525,kristy smith,data engineer,12.02,0.0,50.38,25.21,Not Recommended,None,"etl, mlops"
2822,cassly853,Cassandra Lynch,AR/VR Developer,7.71,0.0,68.52,25.21,Not Recommended,None,data science
2823,VAMSKR079,Harsha,Game Developer,15.65,0.0,35.06,25.2,Not Recommended,None,"artificial intelligence, aws, data analysis, git, google cloud, java, javascript, machine learning, python"
2824,chrihe922,Christopher Herring,Digital Marketing Specialist,10.38,0.0,57.25,25.2,Not Recommended,None,None
2825,colide656,Colin Dean,Product Manager,13.39,0.0,44.56,25.2,Not Recommended,None,None
2826,juliol113,Julia Olson,System Administrator,12.08,0.0,50.1,25.2,Not Recommended,None,None
2827,debobe275,Deborah Bentley,Full Stack Developer,12.58,0.0,47.94,25.19,Not Recommended,None,None
2828,lynnsh963,Lynn Shaw,Full Stack Developer,10.31,0.0,57.42,25.17,Not Recommended,None,None
2829,jonri807,Jon Riley,Game Developer,13.19,0.0,45.32,25.17,Not Recommended,None,None
2830,briaco357,Brian Cook,Content Writer,11.84,0.0,51.01,25.17,Not Recommended,None,machine learning
2831,rachda928,Rachel Davis,Cloud Architect,11.89,0.0,50.76,25.16,Not Recommended,None,None
2832,moniyo338,Monica Young,IT Support Specialist,9.22,0.0,62.0,25.16,Not Recommended,None,None
2833,susamo496,Susan Morris,Game Developer,8.55,0.0,64.77,25.15,Not Recommended,None,None
2834,kennke138,Kenneth Kerr,Full Stack Developer,13.02,0.0,45.96,25.15,Not Recommended,None,None
2835,elijro869,Elijah Robertson,Blockchain Developer,10.97,0.0,54.6,25.15,Not Recommended,None,None
2836,harima21,Neha,Product Manager,7.45,0.0,69.4,25.15,Not Recommended,None,None
2837,edwajo328,Edward Joyce,Digital Marketing Specialist,9.34,0.0,61.44,25.15,Not Recommended,None,None
2838,julist113,Julie Stephens,UX Designer,10.44,0.0,56.78,25.14,Not Recommended,None,data analysis
2839,jonara531,Jonathan Ramirez,Full Stack Developer,9.71,0.0,59.84,25.14,Not Recommended,None,None
2840,keviwe567,Kevin Webster,IT Support Specialist,11.0,0.0,54.42,25.14,Not Recommended,None,None
2841,gregbo753,Gregory Bonilla,Full Stack Developer,11.57,0.0,52.01,25.14,Not Recommended,None,None
2842,mr.vi494,Mr. Victor Fisher,Full Stack Developer,13.32,0.0,44.65,25.14,Not Recommended,None,None
2843,michhu930,Michael Huang,Full Stack Developer,12.04,0.0,50.01,25.13,Not Recommended,None,None
2844,U_22,Zara,UI Designer,8.37,0.0,65.45,25.13,Not Recommended,None,None
2845,aarost171,Aaron Stone,Digital Marketing Specialist,10.17,0.0,57.89,25.13,Not Recommended,None,None
2846,ambeva371,Amber Valentine,Digital Marketing Specialist,10.0,0.0,58.59,25.13,Not Recommended,None,None
2847,brenmo371,Brenda Moore,AR/VR Developer,10.46,0.0,56.68,25.13,Not Recommended,None,None
2848,alanjo157,Alan Jones,Human Resources Specialist,12.29,0.0,48.91,25.12,Not Recommended,None,machine learning
2849,andrhu894,Andrew Hutchinson,Mobile App Developer,11.85,0.0,50.79,25.12,Not Recommended,None,None
2850,samuve641,Samuel Vega,Product Manager,12.32,0.0,48.8,25.12,Not Recommended,None,None
2851,kellma680,Kelly Martin,Mobile App Developer,13.15,0.0,45.26,25.11,Not Recommended,None,data science
2852,elizre138,Elizabeth Reyes,Blockchain Developer,8.68,0.0,64.04,25.1,Not Recommended,None,None
2853,daniba246,Daniel Barron,Mobile App Developer,11.63,0.0,51.61,25.09,Not Recommended,None,data science
2854,ronahe249,Ronald Hernandez,Full Stack Developer,10.92,0.0,54.58,25.09,Not Recommended,None,None
2855,andrac158,Andres Acosta,Digital Marketing Specialist,11.59,0.0,51.74,25.08,Not Recommended,None,None
2856,U_45,Adam,UI Designer,7.87,0.0,67.4,25.08,Not Recommended,None,None
2857,andrto595,Andrew Townsend,Digital Marketing Specialist,10.99,0.0,54.25,25.08,Not Recommended,None,None
2858,johnwa345,John Wagner,AR/VR Developer,8.21,0.0,65.93,25.07,Not Recommended,None,None
2859,chriho253,Christina Howard,Content Writer,11.28,0.0,53.0,25.07,Not Recommended,None,None
2860,KotaSai31,Ekta Bansal,Project Manager,11.31,0.0,52.86,25.07,Not Recommended,None,None
2861,robeho791,Robert Howell,Full Stack Developer,13.61,0.0,43.15,25.06,Not Recommended,None,None
2862,benjev657,Benjamin Evans,Full Stack Developer,10.48,0.0,56.28,25.04,Not Recommended,None,None
2863,mr.br416,Mr. Brian Jackson,Blockchain Developer,11.3,0.0,52.82,25.04,Not Recommended,None,None
2864,angewa909,Angela Wade,Content Writer,9.81,0.0,59.07,25.04,Not Recommended,None,None
2865,michsp644,Michelle Spears,Full Stack Developer,10.67,0.0,55.44,25.03,Not Recommended,None,None
2866,rachma551,rachel martinez,ui engineer,13.61,0.0,43.04,25.03,Not Recommended,None,None
2867,mattbr192,Matthew Brown,AR/VR Developer,19.59,0.0,17.85,25.02,Not Recommended,None,None
2868,willma819,William Martin,QA Engineer,6.94,0.0,71.09,25.02,Not Recommended,None,None
2869,michbi867,Michael Bishop,Digital Marketing Specialist,11.15,0.0,53.38,25.02,Not Recommended,None,None
2870,migufi750,Miguel Finley,Digital Marketing Specialist,10.76,0.0,54.98,25.01,Not Recommended,None,None
2871,erikri567,erik richardson,product manager,13.83,0.0,42.07,25.01,Not Recommended,None,None
2872,randmy759,Randy Myers,Full Stack Developer,13.36,0.0,44.03,25.01,Not Recommended,None,None
2873,johnsc640,John Scott,Full Stack Developer,12.11,0.0,49.24,24.99,Not Recommended,None,data analysis
2874,jereca963,Jeremy Campos,Game Developer,8.64,0.0,63.79,24.98,Not Recommended,None,None
